epoch,train_loss,val_loss
1,0.003009,0.000076
2,0.000057,0.000048
3,0.000043,0.000042
4,0.000039,0.000040
5,0.000053,0.000040
6,0.000036,0.000038
7,0.000036,0.000037
8,0.000035,0.000040
9,0.000035,0.000037
10,0.000043,0.000037
11,0.000034,0.000037
12,0.000034,0.000042
13,0.000034,0.000037
14,0.000034,0.000037
15,0.000034,0.000037
16,0.000034,0.000037
17,0.000034,0.000037
18,0.000034,0.000037
19,0.000034,0.000036
20,0.000070,0.000038
21,0.000035,0.000037
22,0.000036,0.000037
23,0.000040,0.000038
24,0.000035,0.000048
25,0.000039,0.000039
26,nan,nan
27,nan,nan
28,nan,nan
29,nan,nan
30,nan,nan
