epoch,latent_mode,latent_mean,latent_std,latent_scaling_factor,latent_stats_num_values,latent_stats_num_batches
1,mean,-0.000259,0.001998,500.401792,16777216,64
2,mean,-0.000259,0.001998,500.401792,16777216,64
3,mean,-0.000259,0.001998,500.401792,16777216,64
4,mean,-0.000259,0.001998,500.401792,16777216,64
5,mean,-0.000259,0.001998,500.401792,16777216,64
6,mean,-0.000259,0.001998,500.401792,16777216,64
7,mean,-0.000259,0.001998,500.401792,16777216,64
8,mean,-0.000259,0.001998,500.401792,16777216,64
9,mean,-0.000259,0.001998,500.401792,16777216,64
10,mean,-0.000259,0.001998,500.401792,16777216,64
11,mean,-0.000259,0.001998,500.401792,16777216,64
12,mean,-0.000259,0.001998,500.401792,16777216,64
13,mean,-0.000259,0.001998,500.401792,16777216,64
14,mean,-0.000259,0.001998,500.401792,16777216,64
15,mean,-0.000259,0.001998,500.401792,16777216,64
16,mean,-0.000259,0.001998,500.401792,16777216,64
17,mean,-0.000259,0.001998,500.401792,16777216,64
18,mean,-0.000259,0.001998,500.401792,16777216,64
19,mean,-0.000259,0.001998,500.401792,16777216,64
20,mean,-0.000259,0.001998,500.401792,16777216,64
21,mean,-0.000259,0.001998,500.401792,16777216,64
22,mean,-0.000259,0.001998,500.401792,16777216,64
23,mean,-0.000259,0.001998,500.401792,16777216,64
24,mean,-0.000259,0.001998,500.401792,16777216,64
25,mean,-0.000259,0.001998,500.401792,16777216,64
26,mean,-0.000259,0.001998,500.401792,16777216,64
27,mean,-0.000259,0.001998,500.401792,16777216,64
28,mean,-0.000259,0.001998,500.401792,16777216,64
29,mean,-0.000259,0.001998,500.401792,16777216,64
30,mean,-0.000259,0.001998,500.401792,16777216,64
31,mean,-0.000259,0.001998,500.401792,16777216,64
32,mean,-0.000259,0.001998,500.401792,16777216,64
33,mean,-0.000259,0.001998,500.401792,16777216,64
34,mean,-0.000259,0.001998,500.401792,16777216,64
35,mean,-0.000259,0.001998,500.401792,16777216,64
36,mean,-0.000259,0.001998,500.401792,16777216,64
37,mean,-0.000259,0.001998,500.401792,16777216,64
38,mean,-0.000259,0.001998,500.401792,16777216,64
39,mean,-0.000259,0.001998,500.401792,16777216,64
40,mean,-0.000259,0.001998,500.401792,16777216,64
41,mean,-0.000259,0.001998,500.401792,16777216,64
42,mean,-0.000259,0.001998,500.401792,16777216,64
43,mean,-0.000259,0.001998,500.401792,16777216,64
44,mean,-0.000259,0.001998,500.401792,16777216,64
45,mean,-0.000259,0.001998,500.401792,16777216,64
46,mean,-0.000259,0.001998,500.401792,16777216,64
47,mean,-0.000259,0.001998,500.401792,16777216,64
48,mean,-0.000259,0.001998,500.401792,16777216,64
49,mean,-0.000259,0.001998,500.401792,16777216,64
50,mean,-0.000259,0.001998,500.401792,16777216,64
51,mean,-0.000259,0.001998,500.401792,16777216,64
52,mean,-0.000259,0.001998,500.401792,16777216,64
53,mean,-0.000259,0.001998,500.401792,16777216,64
54,mean,-0.000259,0.001998,500.401792,16777216,64
55,mean,-0.000259,0.001998,500.401792,16777216,64
56,mean,-0.000259,0.001998,500.401792,16777216,64
57,mean,-0.000259,0.001998,500.401792,16777216,64
58,mean,-0.000259,0.001998,500.401792,16777216,64
59,mean,-0.000259,0.001998,500.401792,16777216,64
60,mean,-0.000259,0.001998,500.401792,16777216,64
61,mean,-0.000259,0.001998,500.401792,16777216,64
62,mean,-0.000259,0.001998,500.401792,16777216,64
63,mean,-0.000259,0.001998,500.401792,16777216,64
64,mean,-0.000259,0.001998,500.401792,16777216,64
65,mean,-0.000259,0.001998,500.401792,16777216,64
66,mean,-0.000259,0.001998,500.401792,16777216,64
67,mean,-0.000259,0.001998,500.401792,16777216,64
68,mean,-0.000259,0.001998,500.401792,16777216,64
69,mean,-0.000259,0.001998,500.401792,16777216,64
70,mean,-0.000259,0.001998,500.401792,16777216,64
71,mean,-0.000259,0.001998,500.401792,16777216,64
72,mean,-0.000259,0.001998,500.401792,16777216,64
73,mean,-0.000259,0.001998,500.401792,16777216,64
74,mean,-0.000259,0.001998,500.401792,16777216,64
75,mean,-0.000259,0.001998,500.401792,16777216,64
76,mean,-0.000259,0.001998,500.401792,16777216,64
77,mean,-0.000259,0.001998,500.401792,16777216,64
78,mean,-0.000259,0.001998,500.401792,16777216,64
79,mean,-0.000259,0.001998,500.401792,16777216,64
80,mean,-0.000259,0.001998,500.401792,16777216,64
81,mean,-0.000259,0.001998,500.401792,16777216,64
82,mean,-0.000259,0.001998,500.401792,16777216,64
83,mean,-0.000259,0.001998,500.401792,16777216,64
84,mean,-0.000259,0.001998,500.401792,16777216,64
85,mean,-0.000259,0.001998,500.401792,16777216,64
86,mean,-0.000259,0.001998,500.401792,16777216,64
87,mean,-0.000259,0.001998,500.401792,16777216,64
88,mean,-0.000259,0.001998,500.401792,16777216,64
89,mean,-0.000259,0.001998,500.401792,16777216,64
90,mean,-0.000259,0.001998,500.401792,16777216,64
91,mean,-0.000259,0.001998,500.401792,16777216,64
92,mean,-0.000259,0.001998,500.401792,16777216,64
93,mean,-0.000259,0.001998,500.401792,16777216,64
94,mean,-0.000259,0.001998,500.401792,16777216,64
95,mean,-0.000259,0.001998,500.401792,16777216,64
96,mean,-0.000259,0.001998,500.401792,16777216,64
97,mean,-0.000259,0.001998,500.401792,16777216,64
98,mean,-0.000259,0.001998,500.401792,16777216,64
99,mean,-0.000259,0.001998,500.401792,16777216,64
100,mean,-0.000259,0.001998,500.401792,16777216,64
