epoch,train_loss,val_loss,lr
1,0.115248,0.028710,0.000200
2,0.027417,0.018197,0.000200
3,0.019210,0.015985,0.000200
4,0.016212,0.013502,0.000200
5,0.014269,0.012943,0.000199
6,0.013618,0.012016,0.000199
7,0.012707,0.011537,0.000198
8,0.012254,0.011672,0.000198
9,0.012058,0.011137,0.000197
10,0.011678,0.011455,0.000196
11,0.011154,0.010170,0.000195
12,0.010945,0.010738,0.000194
13,0.011065,0.009412,0.000193
14,0.011013,0.010969,0.000192
15,0.010288,0.009797,0.000191
16,0.010529,0.009850,0.000189
17,0.010174,0.009189,0.000188
18,0.010056,0.010911,0.000186
19,0.010018,0.010697,0.000185
20,0.010123,0.010307,0.000183
21,0.009902,0.009062,0.000181
22,0.009587,0.009360,0.000179
23,0.009593,0.008999,0.000177
24,0.009718,0.008903,0.000175
25,0.009723,0.009352,0.000173
26,0.009230,0.009224,0.000171
27,0.009562,0.009049,0.000169
28,0.009396,0.009687,0.000166
29,0.009108,0.009076,0.000164
30,0.009269,0.008690,0.000161
31,0.009084,0.009197,0.000159
32,0.008894,0.009002,0.000156
33,0.008851,0.008999,0.000154
34,0.008988,0.008999,0.000151
35,0.008893,0.008236,0.000148
36,0.009008,0.008509,0.000146
37,0.008741,0.008875,0.000143
38,0.009079,0.008918,0.000140
39,0.009095,0.008748,0.000137
40,0.008808,0.008337,0.000134
41,0.008882,0.008739,0.000131
42,0.008835,0.009150,0.000128
43,0.008535,0.007844,0.000125
44,0.008539,0.008714,0.000122
45,0.008647,0.008274,0.000119
46,0.008436,0.009078,0.000116
47,0.008381,0.008731,0.000113
48,0.008467,0.008377,0.000110
49,0.008638,0.008327,0.000107
50,0.008408,0.007859,0.000104
51,0.008561,0.008123,0.000100
52,0.008374,0.008752,0.000097
53,0.008542,0.008323,0.000094
54,0.008365,0.008071,0.000091
55,0.008227,0.008160,0.000088
56,0.008339,0.009642,0.000085
57,0.008223,0.007987,0.000082
58,0.008529,0.007999,0.000079
59,0.008320,0.008689,0.000076
60,0.007938,0.008458,0.000073
61,0.008163,0.007936,0.000070
62,0.008071,0.008464,0.000067
63,0.008257,0.008077,0.000064
64,0.008116,0.008460,0.000061
65,0.008275,0.007603,0.000058
66,0.007862,0.008282,0.000055
67,0.007850,0.007753,0.000053
68,0.008136,0.007712,0.000050
69,0.008170,0.008298,0.000047
70,0.008077,0.008173,0.000045
71,0.008229,0.008472,0.000042
72,0.007876,0.007849,0.000040
73,0.008272,0.008025,0.000037
74,0.007886,0.007512,0.000035
75,0.008015,0.008117,0.000032
76,0.007932,0.007599,0.000030
77,0.008078,0.007716,0.000028
78,0.007749,0.007770,0.000026
79,0.007829,0.007775,0.000024
80,0.008001,0.008319,0.000022
81,0.007758,0.008075,0.000020
82,0.007774,0.007533,0.000018
83,0.008148,0.007745,0.000016
84,0.007733,0.007983,0.000015
85,0.007733,0.008320,0.000013
86,0.008220,0.008138,0.000012
87,0.007897,0.007924,0.000010
88,0.007765,0.007906,0.000009
89,0.007754,0.008686,0.000008
90,0.007877,0.008292,0.000007
91,0.007899,0.007364,0.000006
92,0.007561,0.006837,0.000005
93,0.007914,0.007675,0.000004
94,0.007912,0.007895,0.000003
95,0.007639,0.007713,0.000003
96,0.007742,0.007248,0.000002
97,0.007901,0.007624,0.000002
98,0.007874,0.007424,0.000001
99,0.007603,0.008182,0.000001
100,0.007867,0.007370,0.000001
